fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
NA,NA,NA,NA,NA,NA,NA
2,16244,584,NA,24,TRUE,NA
2,16957,2072,NA,229,TRUE,NA
3,16593,1305,NA,117,FALSE,TRUE
3,16946,2295,698,378,FALSE,TRUE
4,16245,634,NA,664,FALSE,TRUE
4,16967,2579,NA,480,FALSE,TRUE
5,16243,561,NA,871,TRUE,NA
5,16600,2172,NA,272,TRUE,NA
6,16245,662,NA,707,FALSE,TRUE
6,16585,2021,884,195,FALSE,TRUE
7,16243,551,NA,NA,FALSE,FALSE
7,16600,1009,NA,7,FALSE,FALSE
8,16228,284,NA,106,NA,NA
8,16583,801,NA,1004,NA,NA
8,16932,1284,NA,106,NA,NA
8,16948,2314,NA,396,NA,NA
10,16243,555,NA,867,TRUE,NA
10,16600,559,NA,869,TRUE,NA
11,16243,551,NA,NA,FALSE,FALSE
11,16600,764,NA,986,FALSE,FALSE
13,16238,492,NA,823,NA,NA
13,16584,2005,NA,182,NA,NA
13,16934,2005,NA,182,NA,NA
14,15856,258,NA,NA,NA,NA
14,16584,726,NA,299,NA,NA
14,16935,2203,726,299,NA,NA
14,16966,2203,NA,299,NA,NA
14,17302,2002,NA,179,NA,NA
14,17597,2203,NA,299,NA,NA
14,17621,2203,NA,299,NA,NA
16,16234,420,NA,504,TRUE,NA
16,16585,909,NA,769,TRUE,NA
20,16244,626,NA,913,TRUE,NA
20,16586,2025,NA,198,TRUE,NA
21,16243,559,NA,869,TRUE,NA
21,16600,1153,NA,75,TRUE,NA
24,16600,533,NA,846,FALSE,TRUE
24,16933,2181,1018,279,FALSE,TRUE
25,15857,287,NA,NA,NA,NA
25,16228,375,NA,NA,NA,NA
26,16243,552,NA,864,NA,NA
26,16600,552,NA,864,NA,NA
27,16243,556,NA,7,NA,NA
27,16600,1009,NA,7,NA,NA
153,16587,2059,NA,NA,FALSE,FALSE
153,16955,2060,NA,222,FALSE,FALSE
1021,16595,2136,NA,246,TRUE,NA
1021,16961,2554,NA,468,TRUE,NA
281,16245,654,NA,932,TRUE,NA
281,16587,1144,NA,71,TRUE,NA
281,17328,2907,NA,673,TRUE,NA
299,16234,426,NA,443,NA,NA
299,16585,426,NA,443,NA,NA
302,16244,622,NA,NA,NA,NA
302,16584,949,NA,1069,NA,NA
302,16935,2204,NA,300,NA,NA
302,16966,2203,NA,299,NA,NA
302,17597,2204,NA,300,NA,NA
302,17621,2203,NA,299,NA,NA
323,16243,531,NA,NA,NA,NA
323,17322,2813,319,NA,NA,NA
337,16244,625,NA,198,NA,NA
337,16586,2025,NA,198,NA,NA
1967,16934,2198,NA,293,TRUE,NA
1967,17305,2214,NA,309,TRUE,NA
372,15851,85,NA,NA,FALSE,FALSE
372,16237,449,NA,792,FALSE,FALSE
961,15859,307,NA,NA,NA,NA
961,16243,557,NA,NA,NA,NA
433,15860,339,NA,NA,FALSE,FALSE
433,16586,1131,NA,61,FALSE,FALSE
517,16243,535,NA,848,NA,NA
517,16600,535,NA,848,NA,NA
527,16244,623,NA,NA,FALSE,FALSE
527,16586,2039,NA,211,FALSE,FALSE
532,16244,612,NA,905,FALSE,FALSE
532,16942,2289,NA,372,FALSE,FALSE
535,16233,402,NA,276,NA,NA
535,16599,402,NA,276,NA,NA
570,16232,387,187,742,FALSE,FALSE
570,16591,871,NA,341,FALSE,FALSE
574,16239,508,NA,834,TRUE,NA
