fish_indiv,anem_obs,times_on_anem,num_anems_visited
10,867,1,2
10,869,1,2
1013,245,2,1
1015,452,2,1
1016,451,1,2
1016,947,1,2
1017,450,1,1
1019,313,6,2
1019,1059,3,2
1021,246,1,2
1021,468,1,2
1022,390,11,2
1022,393,3,2
1023,390,1,4
1023,393,2,4
1023,396,3,4
1023,1004,3,4
1024,264,2,1
1025,50,1,1
1026,439,3,2
1026,442,2,2
1027,450,1,1
1028,466,6,1
1029,198,1,4
1029,210,2,4
1029,213,3,4
1029,915,3,4
1030,624,3,2
1030,846,2,2
1031,794,4,1
1036,313,7,3
1036,477,3,3
1036,1059,4,3
1037,179,3,1
1044,64,2,3
1044,198,1,3
1044,932,2,3
1046,66,2,4
1046,197,3,4
1046,670,1,4
1046,920,3,4
11,986,1,1
1102,585,1,1
1113,419,3,2
1113,700,5,2
1116,430,3,3
1116,573,2,3
1116,577,4,3
1128,222,1,2
1128,650,2,2
1154,1051,1,2
1154,1053,1,2
1162,311,3,3
1162,316,7,3
1162,510,4,3
1171,423,2,1
1178,433,1,2
1178,439,1,2
1191,398,2,1
1193,180,2,3
1193,183,2,3
1193,496,1,3
1208,109,1,1
1239,44,1,1
1243,19,10,2
1243,518,10,2
1250,301,19,2
1250,1069,6,2
1251,241,1,1
1257,715,1,1
1263,13,3,2
1263,472,2,2
1271,105,1,2
1271,345,1,2
1275,411,2,1
1280,301,7,2
1280,472,2,2
1283,128,5,4
1283,179,6,4
1283,286,5,4
1283,287,4,4
1294,715,1,1
13,182,3,2
13,823,2,2
1307,56,1,2
1307,572,1,2
1331,359,2,1
1335,209,1,1
1362,343,2,1
1366,380,9,1
1368,344,2,1
1371,283,5,1
1372,377,1,1
1373,104,3,3
1373,191,5,3
1373,503,1,3
1383,345,2,1
1385,538,1,1
1399,356,2,1
14,179,4,2
14,299,17,2
1400,277,5,1
1415,140,1,2
1415,533,1,2
1417,185,31,2
1417,298,4,2
1424,198,1,1
1426,40,2,1
1433,274,1,2
1433,282,1,2
1441,266,2,1
1459,101,2,2
1459,364,3,2
1461,394,2,3
1461,395,1,3
1461,540,2,3
1468,227,1,2
1468,561,1,2
1470,406,1,1
1474,406,1,2
1474,564,1,2
1477,333,5,3
1477,769,1,3
1477,772,3,3
1481,443,4,2
1481,444,5,2
1491,718,2,1
1529,100,1,2
1529,361,1,2
153,222,1,1
1588,654,1,1
16,504,1,2
16,769,1,2
1659,19,2,3
1659,304,3,3
1659,518,4,3
1663,390,2,1
1668,50,1,2
1668,489,2,2
1669,50,1,3
1669,213,3,3
1669,667,2,3
1671,33,7,6
1671,171,5,6
1671,210,7,6
1671,480,4,6
1671,661,3,6
1671,663,6,6
1672,33,2,2
1672,707,3,2
1677,33,1,2
1677,707,1,2
1684,498,5,1
1685,256,2,1
1691,601,2,1
1693,604,2,2
1693,605,3,2
1696,283,1,1
1706,265,1,2
1706,624,1,2
1714,624,2,1
1724,632,5,1
1732,638,3,2
1732,655,2,2
1746,218,2,2
1746,703,3,2
1752,323,1,1
1754,38,1,2
1754,371,1,2
1755,428,2,3
1755,429,2,3
1755,572,1,3
1756,431,1,2
1756,579,1,2
1757,60,1,2
1757,370,1,2
1758,480,2,2
1758,1028,2,2
1775,424,2,1
1781,217,3,3
1781,371,2,3
1781,693,4,3
1847,583,1,1
1848,463,1,1
1851,398,4,2
1851,399,5,2
1919,29,1,2
1919,556,1,2
1967,293,1,2
1967,309,1,2
1972,522,2,1
1973,521,2,1
1974,399,3,2
1974,533,2,2
1981,131,2,1
1982,131,5,1
1989,536,2,1
1991,540,1,2
1991,541,1,2
1993,542,2,1
2,24,1,2
2,229,1,2
20,198,1,2
20,913,1,2
2007,565,4,1
2009,564,2,1
2010,230,1,2
2010,564,1,2
2011,230,2,2
2011,421,1,2
2019,578,1,1
2021,427,1,1
2022,710,1,1
2025,583,3,2
2025,584,2,2
2040,364,5,1
2052,865,1,2
2052,882,1,2
2054,7,1,2
2054,82,1,2
2078,1050,1,1
2096,272,1,2
2096,873,4,2
21,75,1,2
21,869,1,2
2133,863,2,1
2134,199,3,2
2134,921,2,2
2135,5,1,2
2135,849,1,2
2138,258,2,3
2138,260,2,3
2138,456,1,3
2142,430,2,2
2142,579,3,2
2151,208,2,1
2153,273,2,1
2160,421,4,1
2170,881,1,1
2193,421,3,4
2193,432,1,4
2193,435,3,4
2193,575,2,4
2196,116,1,2
2196,387,1,2
2211,70,1,2
2211,200,1,2
2212,849,1,1
2213,256,1,2
2213,258,1,2
2214,55,4,2
2214,437,4,2
2234,244,1,2
2234,245,1,2
2263,427,3,1
2264,392,9,1
2276,485,1,2
2276,664,1,2
2277,333,1,2
2277,446,1,2
2278,719,2,1
2279,720,2,1
2281,340,5,1
2282,452,1,1
2283,451,1,2
2283,1056,1,2
2284,309,5,1
2285,138,1,2
2285,839,1,2
2286,790,1,1
2287,430,1,1
2288,98,5,1
2289,380,6,1
2290,452,2,1
2291,450,2,1
2292,504,1,2
2292,781,1,2
2293,832,1,1
2294,52,2,2
2294,700,2,2
2295,208,1,1
2296,443,1,2
2296,444,1,2
2297,444,1,2
2297,445,1,2
2298,150,2,2
2298,399,3,2
2299,993,1,1
2300,159,1,1
2302,40,5,2
2302,366,1,2
2303,452,2,1
2304,327,5,2
2304,509,15,2
2306,134,1,1
2307,608,1,1
2309,732,1,1
2313,63,2,3
2313,377,1,3
2313,915,2,3
2314,63,1,2
2314,376,1,2
2315,313,5,3
2315,318,10,3
2315,510,5,3
2317,719,1,1
2318,280,6,2
2318,805,3,2
2320,275,1,2
2320,799,1,2
2323,231,1,1
2325,477,7,2
2325,783,7,2
2326,771,1,2
2326,1019,1,2
2327,505,1,2
2327,1017,1,2
2330,210,1,2
2330,906,1,2
2333,470,3,2
2333,471,3,2
2335,161,1,1
2338,779,1,1
2347,203,2,1
2348,172,1,1
2358,327,4,4
2358,333,2,4
2358,504,1,4
2358,769,4,4
2359,271,1,1
2360,297,1,2
2360,298,1,2
2365,608,2,1
2367,856,1,1
2368,646,1,2
2368,982,1,2
2370,719,1,2
2370,804,1,2
2371,855,2,1
2372,763,1,1
2373,205,1,1
2375,168,1,1
2377,276,1,2
2377,278,1,2
2379,50,1,2
2379,908,2,2
2380,624,1,1
2381,210,1,2
2381,919,1,2
2386,134,2,1
2387,50,1,2
2387,909,2,2
2397,241,8,2
2397,529,5,2
2399,470,5,1
24,279,1,2
24,846,1,2
2403,290,1,2
2403,513,1,2
2404,422,1,1
2405,758,1,1
2406,170,1,2
2406,171,1,2
2407,617,3,2
2407,845,3,2
2408,452,2,1
2409,470,1,2
2409,471,1,2
2411,182,2,1
2412,646,1,1
2413,470,1,2
2413,471,1,2
2414,468,1,1
2415,215,1,1
2416,13,3,3
2416,303,3,3
2416,472,3,3
2417,390,14,1
2420,352,1,2
2420,789,1,2
2424,439,1,4
2424,443,5,4
2424,444,4,4
2424,731,4,4
2425,107,1,2
2425,394,1,2
2426,107,2,3
2426,393,1,3
2426,395,2,3
2427,340,8,2
2427,741,1,2
2428,45,4,2
2428,708,1,2
2429,111,2,2
2429,208,3,2
